time,timestep
0.0001,1
0.00025,2
0.000475,3
0.0008125,4
0.00131875,5
0.002078125,6
0.0032171875,7
0.00492578125,8
0.007488671875,9
0.0113330078125,10
0.01709951171875,11
0.025749267578125,12
0.038723901367188,13
0.058185852050781,14
0.087378778076172,15
0.13116816711426,16
0.19685225067139,17
0.29537837600708,18
0.44316756401062,19
0.66485134601593,20
0.9973770190239,21
1.4961655285358,22
2.2443482928038,23
3.3666224392056,24
5.0500336588085,25
6.3125920735106,26
7.5751504882127,27
9.4689881102659,28
12.309744543346,29
13.375028205751,30
14.440311868155,31
15.239274614959,32
16.038237361763,33
17.236681481968,34
19.034347662277,35
21.730846932739,36
25.775595838433,37
28.809157517703,38
31.842719196973,39
36.393061715879,40
43.218575494237,41
53.456846161774,42
68.814252163079,43
91.850361165038,44
109.12744291651,45
126.40452466798,46
152.32014729518,47
191.19358123598,48
249.50373214719,49
336.968958514,50
468.16679806422,51
566.56517772688,52
664.96355738954,53
812.56112688353,54
923.25930400403,55
